Imagem;Corte 5%;Corte 7%;Corte 10%;Corte 13%;Corte 15%;
hz_1224099-PPT.jpg;5663.9;5759.2;5728.58;5737.52;5880.82;
hz_1233154-PPT.jpg;14339.8;14309.36;14154.06;14294.86;14408.08;
hz_1234055-PPT.jpg;15155.02;15421.07;15140.54;14897.42;15175.86;
hz_1234223-PPT.jpg;18258.6;18395.4;18540.33;18710.59;18796.22;
hz_1235128-PPT.jpg;11838.0;11952.34;11991.76;11929.5;12060.2;
hz_1235134-PPT.jpg;20736.77;20987.84;20904.68;20943.73;21093.79;
hz_1235167-PPT.jpg;8916.04;8975.36;9192.22;9292.12;9378.17;
hz_1236191-PPT.jpg;19165.92;19367.96;19236.3;19107.71;19456.37;
hz_1242061-PPT.jpg;7598.5;7327.18;7184.48;7637.16;7812.08;
hz_1327005-PPT.jpg;9449.95;9459.76;9867.46;10085.94;10392.72;
hz_1327006-PPT.jpg;3460.88;3522.3;3549.27;3520.38;3520.68;
hz_1327007-PPT.jpg;3193.16;3274.78;3290.93;3265.2;3227.48;
hz_1327010-PPT.jpg;25618.58;25613.52;25856.0;26001.56;26044.62;
hz_1432033-PPT.jpg;10979.94;10859.6;11419.06;11630.18;12042.81;
hz_1435039-PPT.jpg;19017.38;19166.36;19277.57;19441.37;19513.0;
hz_1435044-PPT.jpg;14981.81;15159.54;15364.99;15450.04;15515.2;
hz_1435166-PPT.jpg;14218.8;14435.53;14780.01;14945.04;15278.4;
hz_1472066-PPT.jpg;23481.38;23552.32;23731.75;23587.48;23691.59;
hz_1472071-PPT.jpg;30593.86;30734.81;30935.73;30892.64;30979.62;
hz_1472072-PPT.jpg;19451.14;19591.28;19760.32;19814.72;19885.94;
hz_1481158-PPT.jpg;6849.18;6648.95;6872.12;6978.94;7225.5;
hz_1599051-PPT.jpg;14067.86;14010.92;14551.47;14660.2;15028.62;
hz_1599057-PPT.jpg;19204.57;18840.88;19538.45;19607.22;20056.78;
hz_1599059-PPT.jpg;8358.49;8320.25;8484.66;8463.25;8673.56;
hz_1599060-PPT.jpg;11611.72;11697.85;11855.72;11864.75;11971.59;
hz_1599434-PPT.jpg;12094.64;12271.26;12324.4;12442.3;12610.72;
hz_1599436-PPT.jpg;10833.86;10906.6;11061.22;11141.14;11152.04;
hz_1599438-PPT.jpg;13556.4;13502.28;13988.35;14055.76;14399.86;
hz_1599744-PPT.jpg;2651.5;2691.09;2756.44;2849.84;2869.06;
hz_1599880-PPT.jpg;7143.84;7104.96;7435.55;7601.94;7833.9;
hz_1599958-PPT.jpg;11416.6;11372.82;11906.06;11996.34;12292.96;
hz_1599992-PPT.jpg;22289.16;22538.6;22788.36;22873.39;22932.52;
hz_1599995-PPT.jpg;7506.48;7540.58;7600.3;7542.91;7632.5;
hz_1599996-PPT.jpg;8715.74;8612.98;8906.6;8985.4;9207.46;
hz_1599997-PPT.jpg;10694.14;10683.22;10964.41;10974.26;11308.0;
hz_1600092-PPT.jpg;18609.8;18333.12;19401.22;19556.84;19642.21;
hz_1600093-PPT.jpg;11278.16;11289.72;11390.66;11467.01;11570.36;
hz_5360671-PPT.jpg;5902.76;6020.28;6025.86;6135.3;6213.94;
hz_5360672-PPT.jpg;12617.38;12860.08;13138.51;13291.01;13390.64;
hz_5361215-PPT.jpg;19163.25;18980.85;19569.89;19557.86;19937.6;
hz_5506206-PPT.jpg;8672.24;8511.92;8550.26;8627.7;8726.78;
hz_5506207-PPT.jpg;12185.52;12372.66;12625.8;12796.24;12870.32;
hz_5511469-PPT.jpg;17915.84;18216.18;18511.96;18577.97;18770.78;
hz_5520223-PPT.jpg;11707.56;11866.87;12206.9;12500.93;12838.14;
hz_imagem_64.jpg;21223.02;21260.7;21575.36;21831.58;21900.86;
hz_imagem_68.jpg;14073.34;14116.74;14162.04;14069.92;13931.86;
sf_1222015-PPT.jpg;7616.66;7699.03;7799.62;7975.73;8096.75;
sf_1235063-PPT.jpg;16409.42;16596.52;16797.2;16914.22;16841.36;
sf_1235064-PPT.jpg;13545.8;13718.52;14098.04;14246.15;14363.7;
sf_1235135-PPT.jpg;15336.4;15385.22;15480.26;15458.04;15614.08;
sf_1320022-PPT.jpg;11352.89;11502.84;11719.33;11854.74;11916.53;
sf_1327032-PPT.jpg;18996.86;18987.52;19031.68;19201.12;19311.26;
sf_1327071-PPT.jpg;3373.48;3423.66;3671.21;3807.06;3886.78;
sf_1327072-PPT.jpg;11489.33;11554.69;11735.02;11818.65;11801.04;
sf_1327073-PPT.jpg;15413.08;15470.38;15845.04;16004.57;16118.97;
sf_1435040-PPT.jpg;13957.1;13921.52;14735.14;14969.4;15528.84;
sf_1435163-PPT.jpg;9256.42;9406.9;9512.24;9669.01;9721.58;
sf_1481171-PPT.jpg;4075.3;4070.39;4293.81;4380.1;4573.08;
sf_1599072-PPT.jpg;6165.5;6230.36;6217.27;6294.48;6260.57;
sf_1599073-PPT.jpg;11367.4;11276.4;11676.42;11799.56;12090.21;
sf_1599417-PPT.jpg;19308.75;19356.45;19647.84;19710.0;19763.1;
sf_1599418-PPT.jpg;3238.52;3370.7;3356.84;3468.88;3558.62;
sf_1599419-PPT.jpg;7514.18;7593.73;7938.33;7947.92;8174.68;
sf_1599420-PPT.jpg;9899.33;9671.92;10035.24;10003.01;10226.25;
sf_1599888-PPT.jpg;17648.82;17617.52;17656.16;17820.69;17906.04;
sf_1599889-PPT.jpg;17505.05;17459.62;17554.08;17615.21;17902.04;
sf_1599890-PPT.jpg;16954.84;17048.24;17203.28;17266.42;17377.11;
sf_1599891-PPT.jpg;23600.54;24022.14;24228.82;24591.64;24727.65;
sf_1599892-PPT.jpg;17975.88;17779.32;18279.68;18302.51;18562.22;
sf_1599893-PPT.jpg;6728.66;6664.34;6890.54;6979.33;7192.82;
sf_1599894-PPT.jpg;2009.12;2085.43;2138.06;2222.7;2230.04;
sf_1599998-PPT.jpg;17357.31;17098.84;17469.26;17564.96;17704.07;
sf_1599999-PPT.jpg;17682.4;17469.78;17767.8;17794.6;18171.42;
sf_1600000-PPT.jpg;20353.52;20363.86;20434.0;20507.54;20606.38;
sf_1600001-PPT.jpg;8888.97;8913.31;9119.72;9216.4;9343.85;
sf_1600003-PPT.jpg;21570.06;21754.86;21990.39;22019.57;22147.65;
sf_1600004-PPT.jpg;4984.35;4868.28;4712.23;4539.78;4472.05;
sf_1600005-PPT.jpg;4706.2;4589.58;4699.7;4638.0;4829.3;
sf_1600006-PPT.jpg;22484.6;22563.72;22612.48;22734.65;22869.91;
sf_1600007-PPT.jpg;22680.78;22658.64;23180.89;23326.8;23802.43;
sf_1600008-PPT.jpg;7402.72;7434.72;7583.56;7678.36;7806.0;
sf_1600009-PPT.jpg;16115.36;16391.28;16627.84;16967.44;17570.14;
sf_1600010-PPT.jpg;18389.13;18527.08;18687.93;18874.85;18813.58;
sf_1600011-PPT.jpg;13586.18;13572.7;13887.9;13834.17;14249.76;
sf_1600099-PPT.jpg;22664.96;22650.86;22609.25;22758.4;22848.12;
sf_1600101-PPT.jpg;16691.72;16795.86;16805.86;16772.7;16752.36;
sf_1600102-PPT.jpg;13826.02;13808.61;13984.29;13947.46;14015.88;
sf_1600133-PPT.jpg;6264.0;6112.2;6296.93;6470.56;6538.24;
sf_1600134-PPT.jpg;9118.16;9198.47;9112.36;9085.83;9048.6;
sf_1600135-PPT.jpg;19957.83;19790.94;20313.29;20184.82;20734.71;
sf_1673034-PPT.jpg;12341.36;12214.14;12326.34;12352.79;12562.03;
sf_1673042-PPT.jpg;5193.08;5246.34;5470.56;5594.22;5663.04;
sf_1858071-PPT.jpg;8665.58;8790.9;8928.14;8989.62;9033.86;
sf_1858074-PPT.jpg;8264.7;8287.54;8393.52;8498.92;8502.3;
sf_4387058-PPT.jpg;4287.82;4258.3;4394.81;4510.9;4660.29;
