Imagem;Corte 5%;Corte 10%;Corte 15%;
hz_1224099-PPT.jpg;3814.7;3911.06;3750.86;
hz_1233154-PPT.jpg;5069.9;4575.68;4235.18;
hz_1234055-PPT.jpg;4001.97;4291.69;4492.92;
hz_1234223-PPT.jpg;3460.73;3425.0;3400.26;
hz_1235128-PPT.jpg;3635.8;3570.84;3857.11;
hz_1235134-PPT.jpg;4099.91;4042.96;3630.27;
hz_1235167-PPT.jpg;3966.4;3867.02;3996.7;
hz_1236191-PPT.jpg;4645.32;4568.73;4351.81;
hz_1242061-PPT.jpg;4010.8;4099.77;3924.45;
hz_1327005-PPT.jpg;3445.46;3045.58;2931.12;
hz_1327006-PPT.jpg;3167.94;2760.51;3363.98;
hz_1327007-PPT.jpg;4433.0;3544.18;4615.94;
hz_1327010-PPT.jpg;3849.22;3709.84;3385.52;
hz_1432033-PPT.jpg;3982.69;3879.54;3907.87;
hz_1435039-PPT.jpg;3625.3;3545.76;3260.64;
hz_1435044-PPT.jpg;3327.4;3178.88;3249.05;
hz_1435166-PPT.jpg;3861.58;3883.87;3629.03;
hz_1472066-PPT.jpg;3508.05;3344.48;3213.2;
hz_1472071-PPT.jpg;3211.39;3113.62;3017.66;
hz_1472072-PPT.jpg;3947.94;3700.06;3474.2;
hz_1481158-PPT.jpg;2721.9;2578.36;2539.76;
hz_1599051-PPT.jpg;4331.13;4086.68;3847.46;
hz_1599057-PPT.jpg;4533.44;3785.48;3697.7;
hz_1599059-PPT.jpg;5225.66;4516.0;4206.93;
hz_1599060-PPT.jpg;6097.46;4724.48;4237.51;
hz_1599434-PPT.jpg;5028.48;4674.58;4607.84;
hz_1599436-PPT.jpg;5845.16;5408.86;5386.88;
hz_1599438-PPT.jpg;4798.58;4257.12;4140.41;
hz_1599744-PPT.jpg;2854.14;2775.7;3142.08;
hz_1599880-PPT.jpg;3882.0;3818.62;3615.39;
hz_1599958-PPT.jpg;3917.48;3788.32;3581.18;
hz_1599992-PPT.jpg;3550.74;3414.44;3362.06;
hz_1599995-PPT.jpg;3893.58;3587.42;3337.42;
hz_1599996-PPT.jpg;4294.99;3802.69;3768.51;
hz_1599997-PPT.jpg;5138.49;4223.09;4054.32;
hz_1600092-PPT.jpg;3548.86;3166.3;2905.9;
hz_1600093-PPT.jpg;3891.34;3080.26;3016.98;
hz_5360671-PPT.jpg;4494.47;4419.6;4154.05;
hz_5360672-PPT.jpg;3865.74;3726.16;3345.89;
hz_5361215-PPT.jpg;3671.45;3553.42;3360.78;
hz_5506206-PPT.jpg;4226.58;4069.02;3948.36;
hz_5506207-PPT.jpg;4870.74;4118.18;4085.69;
hz_5511469-PPT.jpg;3711.6;3657.96;3603.41;
hz_5520223-PPT.jpg;4088.2;3917.88;3833.53;
hz_imagem_64.jpg;3252.62;3153.26;3096.65;
hz_imagem_68.jpg;4182.73;4034.62;3941.48;
sf_1222015-PPT.jpg;3747.12;3424.36;3214.04;
sf_1235063-PPT.jpg;4065.56;3974.98;3957.34;
sf_1235064-PPT.jpg;4133.01;3925.46;4304.32;
sf_1235135-PPT.jpg;4189.69;4064.55;3481.51;
sf_1320022-PPT.jpg;3898.22;3378.72;3606.74;
sf_1327032-PPT.jpg;3821.58;4006.49;3852.38;
sf_1327071-PPT.jpg;4440.3;3246.92;3283.5;
sf_1327072-PPT.jpg;4070.02;3851.73;3932.9;
sf_1327073-PPT.jpg;6088.1;5759.86;4430.06;
sf_1435040-PPT.jpg;3045.14;2897.2;2948.12;
sf_1435163-PPT.jpg;3968.76;4590.53;4133.43;
sf_1481171-PPT.jpg;3220.0;2645.2;2565.64;
sf_1599072-PPT.jpg;6377.57;5311.24;4247.26;
sf_1599073-PPT.jpg;4040.19;4200.24;3938.16;
sf_1599417-PPT.jpg;3769.74;3622.34;3525.79;
sf_1599418-PPT.jpg;3217.28;3076.62;2818.16;
sf_1599419-PPT.jpg;4371.4;4105.43;3867.98;
sf_1599420-PPT.jpg;4810.98;4437.93;4464.63;
sf_1599888-PPT.jpg;4651.96;4031.9;3833.98;
sf_1599889-PPT.jpg;4629.16;4026.24;3797.16;
sf_1599890-PPT.jpg;4117.99;3744.92;3607.96;
sf_1599891-PPT.jpg;4083.53;3343.14;3315.96;
sf_1599892-PPT.jpg;4074.38;3807.54;3728.33;
sf_1599893-PPT.jpg;3996.54;3681.24;3500.73;
sf_1599894-PPT.jpg;3710.28;3113.97;3198.62;
sf_1599998-PPT.jpg;4062.88;3804.9;3655.0;
sf_1599999-PPT.jpg;4063.68;3817.74;3676.36;
sf_1600000-PPT.jpg;3537.54;3482.6;3364.52;
sf_1600001-PPT.jpg;3521.43;3291.16;3190.98;
sf_1600003-PPT.jpg;4011.54;3577.71;3533.66;
sf_1600004-PPT.jpg;4050.9;3583.89;3375.24;
sf_1600005-PPT.jpg;4332.88;4582.06;4309.18;
sf_1600006-PPT.jpg;4059.29;3824.0;3513.2;
sf_1600007-PPT.jpg;3473.76;3196.04;3086.4;
sf_1600008-PPT.jpg;3862.02;3522.24;3514.72;
sf_1600009-PPT.jpg;4084.88;3945.23;3857.86;
sf_1600010-PPT.jpg;3751.54;3616.11;3403.62;
sf_1600011-PPT.jpg;4911.72;4555.59;4373.48;
sf_1600099-PPT.jpg;4364.16;3936.16;3498.58;
sf_1600101-PPT.jpg;3531.28;3695.02;3526.96;
sf_1600102-PPT.jpg;4753.87;4164.1;4016.9;
sf_1600133-PPT.jpg;3166.98;3102.62;3344.16;
sf_1600134-PPT.jpg;5946.8;4663.34;4319.66;
sf_1600135-PPT.jpg;4061.77;3811.56;3711.66;
sf_1673034-PPT.jpg;3860.12;3778.22;3848.41;
sf_1673042-PPT.jpg;3391.14;3349.58;3064.44;
sf_1858071-PPT.jpg;4046.52;3853.0;3703.83;
sf_1858074-PPT.jpg;3960.92;3709.06;3645.82;
sf_4387058-PPT.jpg;3227.77;2973.21;2909.68;
sf_5110009-PPT.jpg;3457.35;2922.08;2798.84;
sf_5360472-PPT.jpg;3859.14;3600.81;3603.98;
sf_5361210-PPT.jpg;4519.92;4389.24;3938.66;
sf_5367921-PPT.jpg;6783.21;6171.77;5846.25;
sf_5367922-PPT.jpg;5091.73;4394.93;4288.89;
sf_5367923-PPT.jpg;5148.93;4899.32;4544.44;
sf_5367924-PPT.jpg;6287.07;5542.26;5227.74;
sf_5383669-PPT.jpg;3503.89;3215.72;3169.5;
sf_5383670-PPT.jpg;3494.58;3194.0;3127.14;
sf_5438976-PPT.jpg;5542.56;6167.44;4738.49;
sf_5438977-PPT.jpg;5417.4;5091.71;4794.15;
sf_5438978-PPT.jpg;6478.86;6571.94;4761.7;
sf_5507023-PPT.jpg;3518.82;3445.04;3337.98;
sf_5507028-PPT.jpg;6435.68;6174.86;6034.66;
