Imagem;Corte 5%;Corte 7%;Corte 10%;Corte 13%;Corte 15%;
hz_1224099-PPT.jpg;10.18;10.12;10.04;9.98;9.99;
hz_1233154-PPT.jpg;6.54;6.54;6.57;6.56;6.52;
hz_1234055-PPT.jpg;6.28;6.23;6.29;6.36;6.28;
hz_1234223-PPT.jpg;5.3;5.27;5.23;5.2;5.18;
hz_1235128-PPT.jpg;7.98;7.96;7.87;7.86;7.87;
hz_1235134-PPT.jpg;4.39;4.34;4.37;4.36;4.33;
hz_1235167-PPT.jpg;8.34;8.31;8.22;8.2;8.17;
hz_1236191-PPT.jpg;4.73;4.68;4.66;4.68;4.58;
hz_1242061-PPT.jpg;9.64;9.67;9.57;9.46;9.41;
hz_1327005-PPT.jpg;8.02;8.0;7.88;7.82;7.76;
hz_1327006-PPT.jpg;13.42;13.26;13.16;13.12;13.1;
hz_1327007-PPT.jpg;13.96;13.9;13.79;13.78;13.82;
hz_1327010-PPT.jpg;3.66;3.65;3.62;3.59;3.58;
hz_1432033-PPT.jpg;7.49;7.52;7.37;7.32;7.22;
hz_1435039-PPT.jpg;4.94;4.92;4.89;4.87;4.86;
hz_1435044-PPT.jpg;6.47;6.42;6.37;6.35;6.34;
hz_1435166-PPT.jpg;6.02;5.96;5.86;5.82;5.74;
hz_1472066-PPT.jpg;4.1;4.08;4.06;4.08;4.06;
hz_1472071-PPT.jpg;2.92;2.9;2.88;2.89;2.88;
hz_1472072-PPT.jpg;5.3;5.26;5.22;5.2;5.18;
hz_1481158-PPT.jpg;9.26;9.22;9.15;9.14;9.1;
hz_1599051-PPT.jpg;6.32;6.32;6.23;6.21;6.14;
hz_1599057-PPT.jpg;4.79;4.85;4.73;4.72;4.65;
hz_1599059-PPT.jpg;8.74;8.74;8.72;8.7;8.7;
hz_1599060-PPT.jpg;7.62;7.55;7.46;7.43;7.4;
hz_1599434-PPT.jpg;7.04;6.98;6.96;6.93;6.9;
hz_1599436-PPT.jpg;7.64;7.6;7.59;7.58;7.58;
hz_1599438-PPT.jpg;6.57;6.54;6.5;6.48;6.47;
hz_1599744-PPT.jpg;12.84;12.82;12.81;12.73;12.75;
hz_1599880-PPT.jpg;9.13;9.1;8.98;8.93;8.84;
hz_1599958-PPT.jpg;7.32;7.3;7.14;7.11;7.02;
hz_1599992-PPT.jpg;4.15;4.11;4.06;4.05;4.04;
hz_1599995-PPT.jpg;9.66;9.62;9.6;9.59;9.56;
hz_1599996-PPT.jpg;8.75;8.74;8.62;8.6;8.57;
hz_1599997-PPT.jpg;7.73;7.72;7.56;7.54;7.44;
hz_1600092-PPT.jpg;5.15;5.12;5.05;5.01;4.99;
hz_1600093-PPT.jpg;7.56;7.52;7.43;7.4;7.37;
hz_5360671-PPT.jpg;9.98;9.93;9.94;9.93;9.91;
hz_5360672-PPT.jpg;6.98;6.91;6.82;6.78;6.75;
