Imagem;Corte 5%;Corte 7%;Corte 10%;Corte 13%;Corte 15%;
hz_1224099-PPT.jpg;17.77;19.39;22.04;25.1;24.04;
hz_1233154-PPT.jpg;20.74;16.37;16.51;17.75;18.17;
hz_1234055-PPT.jpg;23.68;24.39;24.35;24.47;24.26;
hz_1234223-PPT.jpg;18.69;19.62;19.88;20.57;20.83;
hz_1235128-PPT.jpg;20.64;21.11;22.04;22.74;23.23;
hz_1235134-PPT.jpg;24.48;24.53;24.78;24.32;23.94;
hz_1235167-PPT.jpg;20.56;21.08;22.14;22.31;23.16;
hz_1236191-PPT.jpg;16.4;16.84;18.24;19.06;19.5;
hz_1242061-PPT.jpg;19.46;20.2;21.12;22.3;22.7;
hz_1327005-PPT.jpg;17.98;18.44;19.0;19.46;18.84;
hz_1327006-PPT.jpg;14.32;15.48;15.33;15.43;15.24;
hz_1327007-PPT.jpg;13.33;13.78;14.17;14.21;14.26;
hz_1327010-PPT.jpg;17.44;17.07;18.22;18.78;19.37;
hz_1432033-PPT.jpg;24.08;25.12;25.94;26.04;25.79;
hz_1435039-PPT.jpg;17.78;18.74;19.94;20.2;20.68;
hz_1435044-PPT.jpg;18.64;19.39;19.62;19.76;19.61;
hz_1435166-PPT.jpg;17.28;17.73;18.88;19.55;19.58;
hz_1472066-PPT.jpg;20.19;20.87;22.02;21.79;22.7;
hz_1472071-PPT.jpg;20.57;21.19;22.86;23.1;22.79;
hz_1472072-PPT.jpg;19.36;20.3;20.66;21.49;21.74;
hz_1481158-PPT.jpg;15.7;16.05;16.14;16.14;16.36;
hz_1599051-PPT.jpg;21.64;22.71;23.71;23.74;22.83;
hz_1599057-PPT.jpg;20.92;20.48;20.88;22.3;22.32;
hz_1599059-PPT.jpg;24.41;25.35;26.18;25.7;25.69;
hz_1599060-PPT.jpg;22.05;22.66;23.78;23.8;23.68;
hz_1599434-PPT.jpg;24.66;25.12;25.78;25.48;25.24;
hz_1599436-PPT.jpg;23.52;24.2;24.67;24.5;24.15;
hz_1599438-PPT.jpg;25.34;25.86;21.8;24.26;25.24;
hz_1599744-PPT.jpg;17.69;18.17;18.42;18.56;17.95;
hz_1599880-PPT.jpg;18.37;18.82;19.18;20.38;20.83;
hz_1599958-PPT.jpg;18.58;19.06;20.13;20.66;21.08;
hz_1599992-PPT.jpg;18.84;20.69;21.38;21.87;22.24;
hz_1599995-PPT.jpg;16.2;17.61;17.61;17.88;18.48;
hz_1599996-PPT.jpg;19.07;19.87;20.47;20.9;21.16;
hz_1599997-PPT.jpg;19.61;20.34;21.3;21.65;21.72;
hz_1600092-PPT.jpg;16.76;17.26;18.44;18.33;18.51;
hz_1600093-PPT.jpg;15.1;15.39;16.14;16.24;16.77;
hz_5360671-PPT.jpg;21.6;21.65;22.86;23.0;23.04;
hz_5360672-PPT.jpg;17.76;17.59;18.54;18.67;18.9;
hz_5361215-PPT.jpg;19.95;20.42;21.08;21.22;21.26;
hz_5506206-PPT.jpg;19.95;20.68;21.38;21.49;21.46;
hz_5506207-PPT.jpg;17.73;18.16;20.03;20.28;20.58;
hz_5511469-PPT.jpg;18.58;18.3;19.98;20.83;21.76;
hz_5520223-PPT.jpg;23.18;23.72;22.74;23.52;24.34;
hz_imagem_64.jpg;20.18;20.84;22.38;22.54;22.52;
hz_imagem_68.jpg;19.77;20.55;21.8;19.4;19.98;
sf_1222015-PPT.jpg;19.93;21.15;20.78;20.86;22.16;
sf_1235063-PPT.jpg;22.12;22.86;18.83;19.28;20.8;
sf_1235064-PPT.jpg;16.86;18.18;19.22;20.98;23.12;
sf_1235135-PPT.jpg;16.74;16.99;17.32;17.34;17.44;
sf_1320022-PPT.jpg;16.09;16.9;17.12;17.37;17.56;
sf_1327032-PPT.jpg;16.93;18.81;20.96;20.04;21.46;
sf_1327071-PPT.jpg;11.72;12.32;15.52;15.42;16.14;
sf_1327072-PPT.jpg;20.58;20.37;21.26;21.52;21.88;
sf_1327073-PPT.jpg;16.24;16.76;17.48;17.76;17.82;
sf_1435040-PPT.jpg;19.96;20.59;20.53;20.11;20.54;
sf_1435163-PPT.jpg;21.14;21.96;22.82;23.28;21.82;
sf_1481171-PPT.jpg;14.38;14.88;15.81;16.32;16.3;
sf_1599072-PPT.jpg;16.03;22.78;23.38;23.23;23.07;
sf_1599073-PPT.jpg;21.7;22.47;23.4;23.6;23.4;
sf_1599417-PPT.jpg;19.5;20.05;20.8;20.82;20.76;
sf_1599418-PPT.jpg;14.55;15.42;14.46;15.23;15.19;
sf_1599419-PPT.jpg;19.32;20.18;20.88;20.84;21.8;
sf_1599420-PPT.jpg;15.85;16.72;16.07;16.63;17.3;
sf_1599888-PPT.jpg;22.19;22.52;23.2;23.48;23.44;
sf_1599889-PPT.jpg;21.8;22.15;22.58;22.78;22.69;
sf_1599890-PPT.jpg;20.88;21.12;19.88;22.6;22.72;
sf_1599891-PPT.jpg;19.7;20.52;21.27;20.46;21.59;
sf_1599892-PPT.jpg;21.7;22.17;20.99;20.82;21.24;
sf_1599893-PPT.jpg;18.61;19.3;19.97;20.41;20.65;
sf_1599894-PPT.jpg;15.59;17.69;17.41;18.94;18.17;
sf_1599998-PPT.jpg;18.6;19.04;21.54;21.76;22.02;
sf_1599999-PPT.jpg;19.07;19.16;20.33;22.06;22.24;
sf_1600000-PPT.jpg;20.07;20.98;21.88;22.2;22.54;
sf_1600001-PPT.jpg;16.5;18.12;19.05;19.56;20.15;
sf_1600003-PPT.jpg;20.02;19.72;19.69;21.64;23.07;
sf_1600004-PPT.jpg;19.63;20.31;21.5;21.82;22.03;
sf_1600005-PPT.jpg;16.03;15.31;15.73;16.19;16.16;
sf_1600006-PPT.jpg;19.28;19.76;19.62;22.07;22.89;
sf_1600007-PPT.jpg;17.32;16.83;17.91;18.67;18.48;
sf_1600008-PPT.jpg;19.56;19.8;21.92;22.32;22.01;
sf_1600009-PPT.jpg;15.4;15.9;16.75;17.74;18.98;
sf_1600010-PPT.jpg;19.27;18.58;20.87;20.27;21.16;
sf_1600011-PPT.jpg;24.35;25.16;25.42;25.05;24.9;
sf_1600099-PPT.jpg;17.46;18.42;18.64;18.76;19.44;
sf_1600101-PPT.jpg;20.64;21.6;22.83;23.36;23.31;
sf_1600102-PPT.jpg;22.02;20.94;22.8;23.0;23.8;
sf_1600133-PPT.jpg;18.41;19.46;20.77;21.32;21.12;
sf_1600134-PPT.jpg;20.27;21.15;22.18;22.74;23.02;
sf_1600135-PPT.jpg;22.54;22.96;23.18;23.02;22.84;
